Name,Category,Phone,City,State,License Number,Why Kept
Topline AutoMotors LLC,Wholesale Motor Vehicle Dealer,4802130444,Glendale,AZ,L10000397,State-licensed wholesale dealer - Sep 13 push
BIA Motors,Wholesale Motor Vehicle Dealer,(602) 710-3426,phoenix,AZ,L10000665,State-licensed wholesale dealer - Sep 13 push
JPW CARS LLC,Wholesale Motor Vehicle Dealer,6023913256,EL MIRAGE,AZ,L10000367,State-licensed wholesale dealer - Sep 13 push
Southern Funding LLC,Wholesale Motor Vehicle Dealer,5207043109,Tucson,AZ,L10000381,State-licensed wholesale dealer - Sep 13 push
K&U AUTOMOTIVE LLC,Wholesale Motor Vehicle Dealer,6027378704,phoenix,AZ,L10000456,State-licensed wholesale dealer - Sep 13 push
"PCM Services, Inc",Wholesale Motor Vehicle Dealer,7147437000,Quartzsite,AZ,L10000455,State-licensed wholesale dealer - Sep 13 push
DESERT VALLEY AUTO WHOLESALE LLC,Wholesale Motor Vehicle Dealer,480-955-4667,PEORIA,AZ,L10000376,State-licensed wholesale dealer - Sep 13 push
"BARABE MOTOR COMPANY, LLC",Wholesale Motor Vehicle Dealer,505-463-6844,TEMPE,AZ,L10000377,State-licensed wholesale dealer - Sep 13 push
ALDRISPE LLC,Wholesale Motor Vehicle Dealer,623-225-3735,PHOENIX,AZ,L10000401,State-licensed wholesale dealer - Sep 13 push
Pacific Funding Wholesale Auto Sale LLC,Wholesale Motor Vehicle Dealer,6024817848,Tolleson,AZ,L10000438,State-licensed wholesale dealer - Sep 13 push
ARRA MOTOR CLUB LLC,Wholesale Motor Vehicle Dealer,(718)810-5569,GLENDALE,AZ,L10000545,State-licensed wholesale dealer - Sep 13 push
Nyemke Enterprise LLC,Wholesale Motor Vehicle Dealer,6144463074,Queen Creek,AZ,L10001387,State-licensed wholesale dealer - Sep 13 push
Copperstate Truck Sales LLC,Wholesale Motor Vehicle Dealer,602-476-9670,Phoenix,AZ,L10000515,State-licensed wholesale dealer - Sep 13 push
STRATEGIC AUTOMOTIVE CONSULTING LLC,Wholesale Motor Vehicle Dealer,602-622-0902,SCOTTSDALE,AZ,L10000485,State-licensed wholesale dealer - Sep 13 push
M V AUTO WHOLESALE LLC,Wholesale Motor Vehicle Dealer,602-301-5727,PHOENIX,AZ,L10000486,State-licensed wholesale dealer - Sep 13 push
OZ Motorsport LLC,Wholesale Motor Vehicle Dealer,6025256074,Laveen,AZ,L10000602,State-licensed wholesale dealer - Sep 13 push
ELITE AUTO SALE LLC,Wholesale Motor Vehicle Dealer,602 477 9333,Phoenix,AZ,L10000563,State-licensed wholesale dealer - Sep 13 push
CONSUMER FINANCE,Wholesale Motor Vehicle Dealer,602-334-3727,PHOENIX,AZ,L10000561,State-licensed wholesale dealer - Sep 13 push
Plan B Auto Sales LLC,Wholesale Motor Vehicle Dealer,6027140047,San Tan Valley,AZ,L10000592,State-licensed wholesale dealer - Sep 13 push
Sin Ley Autosales,Wholesale Motor Vehicle Dealer,6237428392,phoenix,AZ,L10000576,State-licensed wholesale dealer - Sep 13 push
Car Lanes LLC,Wholesale Motor Vehicle Dealer,5204095211,Tucson,AZ,L10000734,State-licensed wholesale dealer - Sep 13 push
EQUITY WHOLESALE,Wholesale Motor Vehicle Dealer,602-802-7246,MESA,AZ,L10000739,State-licensed wholesale dealer - Sep 13 push
Sheikh Auto Sales LLC,Wholesale Motor Vehicle Dealer,4806228747,Phoenix,AZ,L10000663,State-licensed wholesale dealer - Sep 13 push
AHMAUTO LLC,Wholesale Motor Vehicle Dealer,602-668-6685,SURPRISE,AZ,L10000640,State-licensed wholesale dealer - Sep 13 push
"RPA, INC.",Wholesale Motor Vehicle Dealer,480-710-0615,PHOENIX,AZ,L10000770,State-licensed wholesale dealer - Sep 13 push
Southwest Motorsport LLC,Wholesale Motor Vehicle Dealer,6237596539,phoenix,AZ,L10000772,State-licensed wholesale dealer - Sep 13 push
Luna's Auto Sales LLC,Wholesale Motor Vehicle Dealer,6023919823,Phoenix,AZ,L10000704,State-licensed wholesale dealer - Sep 13 push
KING SOLOMON LLC,Wholesale Motor Vehicle Dealer,6029808387,PHOENIX,AZ,L10000779,State-licensed wholesale dealer - Sep 13 push
Brentwood Auto Group,Wholesale Motor Vehicle Dealer,4804661182,Chandler,AZ,L10000826,State-licensed wholesale dealer - Sep 13 push
TAIM AUTO SALE LLC,Wholesale Motor Vehicle Dealer,480-395-3679,GLENDALE,AZ,L10000982,State-licensed wholesale dealer - Sep 13 push
drivemax llc,Wholesale Motor Vehicle Dealer,623-2625174,phoenix,AZ,L10002934,State-licensed wholesale dealer - Sep 13 push
KG MOTORSPORTS,Wholesale Motor Vehicle Dealer,602-812-8090,Laveen,AZ,L10001157,State-licensed wholesale dealer - Sep 13 push
Target Retirement Services,Wholesale Motor Vehicle Dealer,4802784417,Chandler,AZ,L10001398,State-licensed wholesale dealer - Sep 13 push
"Mt. Everest Holdings, LLC",Wholesale Motor Vehicle Dealer,480-292-6024,Peoria,AZ,L10001277,State-licensed wholesale dealer - Sep 13 push
David AZ Group LLC,Wholesale Motor Vehicle Dealer,623-377-0615,Glendale,AZ,L10001580,State-licensed wholesale dealer - Sep 13 push
San Tan Legit Motorsports LLC,Wholesale Motor Vehicle Dealer,623-999-2128,San Tan Valley,AZ,L10000752,State-licensed wholesale dealer - Sep 13 push
Dynomax Enterprises,Wholesale Motor Vehicle Dealer,602-628-8584,Mesa,AZ,L10000755,State-licensed wholesale dealer - Sep 13 push
"Mojave Auto Brokers, LLC",Wholesale Motor Vehicle Dealer,7196615946,Lake Havasu,AZ,L10000885,State-licensed wholesale dealer - Sep 13 push
SPARTAN AUTOS,Wholesale Motor Vehicle Dealer,607-429-8838,GOLDEN VALLEY,AZ,L10000814,State-licensed wholesale dealer - Sep 13 push
Suhy Enterprises,Wholesale Motor Vehicle Dealer,6025755755,Glendale,AZ,L10000827,State-licensed wholesale dealer - Sep 13 push
CB Motor Company,Wholesale Motor Vehicle Dealer,4804957691,Queen Creek,AZ,L10001351,State-licensed wholesale dealer - Sep 13 push
AUTOSENSE LLC,Wholesale Motor Vehicle Dealer,480-781-1324,SURPRISE,AZ,L10000780,State-licensed wholesale dealer - Sep 13 push
Arizona Wholesalers,Wholesale Motor Vehicle Dealer,480-205-0409,Phoenix,AZ,L10000811,State-licensed wholesale dealer - Sep 13 push
FIRST ARIZONA AUTO LEASING LLC,Wholesale Motor Vehicle Dealer,602-430-3339,PHOENIX,AZ,L10000925,State-licensed wholesale dealer - Sep 13 push
TRUE IMPORTS LLC,Wholesale Motor Vehicle Dealer,480-665-1849,PHOENIX,AZ,L10000833,State-licensed wholesale dealer - Sep 13 push
Top Gear Investment LLC,Wholesale Motor Vehicle Dealer,2487034700,Scottsdale,AZ,L10000882,State-licensed wholesale dealer - Sep 13 push
Reliable Chariots,Wholesale Motor Vehicle Dealer,619-519-9686,Tucson,AZ,L10001140,State-licensed wholesale dealer - Sep 13 push
SAM & J AUTO LLC,Wholesale Motor Vehicle Dealer,6023834896,PHOENIX,AZ,L10001085,State-licensed wholesale dealer - Sep 13 push
DMC,Wholesale Motor Vehicle Dealer,650-520-9699,SCOTTSDALE,AZ,L10000872,State-licensed wholesale dealer - Sep 13 push
V CUSTOMS LLC,Wholesale Motor Vehicle Dealer,6026688059,GOODYEAR,AZ,L10000875,State-licensed wholesale dealer - Sep 13 push
FinishLine Acceptance LLC,Wholesale Motor Vehicle Dealer,6023735729,Phoenix,AZ,L10001254,State-licensed wholesale dealer - Sep 13 push
Ryan Ervin White,Wholesale Motor Vehicle Dealer,9282798868,Kingman,AZ,L10001092,State-licensed wholesale dealer - Sep 13 push
BEYLA AUTO SALES LLC,Wholesale Motor Vehicle Dealer,602-810-6827,GLENDALE,AZ,L10000983,State-licensed wholesale dealer - Sep 13 push
DUA INVESTMENTS LLC,Wholesale Motor Vehicle Dealer,6232826258,Phoenix,AZ,L10001235,State-licensed wholesale dealer - Sep 13 push
"M.S.B. HOLDINGS, LLC",Wholesale Motor Vehicle Dealer,602-619-3217,PHOENIX,AZ,L10000999,State-licensed wholesale dealer - Sep 13 push
ELEV8T MOTORSPORTS LLC,Wholesale Motor Vehicle Dealer,6023172640,Phoenix,AZ,L10001048,State-licensed wholesale dealer - Sep 13 push
SUMER AUTOSALES LLC,Wholesale Motor Vehicle Dealer,602-626-4504,TEMPE,AZ,L10000989,State-licensed wholesale dealer - Sep 13 push
Aphillyated,Wholesale Motor Vehicle Dealer,4804380675,Mesa,AZ,L10001211,State-licensed wholesale dealer - Sep 13 push
ROLEX LLC,Wholesale Motor Vehicle Dealer,602-710-7371,PHOENIX,AZ,L10001012,State-licensed wholesale dealer - Sep 13 push
ROYAL MOTORSPORTS LLC,Wholesale Motor Vehicle Dealer,6027967244,PHOENIX,AZ,L10001218,State-licensed wholesale dealer - Sep 13 push
Desert valley automotive,Wholesale Motor Vehicle Dealer,5203081765,Phoenix,AZ,L10001121,State-licensed wholesale dealer - Sep 13 push
Hot Rides LLC,Wholesale Motor Vehicle Dealer,5206128661,Tucson,AZ,L10001166,State-licensed wholesale dealer - Sep 13 push
