Name,Category,Phone,City,State,License Number,Why Kept
1231 GROUP LLC,Wholesale Motor Vehicle Dealer,(727)953-2475,LARGO,FL,1150407-1,State-licensed wholesale dealer - Sep 13 push
310 MOTOR GROUP LLC,Wholesale Motor Vehicle Dealer,(786)292-2328,SUNNY ISLES BEACH,FL,1141669-1,State-licensed wholesale dealer - Sep 13 push
365 AUTO EXPRESS LLC,Wholesale Motor Vehicle Dealer,(407)587-6856,ORLANDO,FL,1147206-1,State-licensed wholesale dealer - Sep 13 push
500 LLC,Wholesale Motor Vehicle Dealer,(305)305-3518,MIRAMAR,FL,1149378-1,State-licensed wholesale dealer - Sep 13 push
A AUTO KARS INC,Wholesale Motor Vehicle Dealer,(786)586-6295,TAMARAC,FL,1152742-1,State-licensed wholesale dealer - Sep 13 push
A WHOLESALER LLC,Wholesale Motor Vehicle Dealer,(863)448-5040,BARTOW,FL,1146267-1,State-licensed wholesale dealer - Sep 13 push
ABEWORKS AUTOS LLC,Wholesale Motor Vehicle Dealer,(954)372-6470,MIAMI,FL,1153993-1,State-licensed wholesale dealer - Sep 13 push
ABRAM GROUP INC,Wholesale Motor Vehicle Dealer,(754)465-1557,PALM CITY,FL,1153492-1,State-licensed wholesale dealer - Sep 13 push
ADAMS AUTO EXCHANGE LLC,Wholesale Motor Vehicle Dealer,(813)482-2991,NEW PORT RICHEY,FL,1153514-1,State-licensed wholesale dealer - Sep 13 push
ADCOCK BROTHERS INC,Wholesale Motor Vehicle Dealer,(717)664-3600,PANAMA CITY,FL,1105656-1,State-licensed wholesale dealer - Sep 13 push
AGMA GROUP INC.,Wholesale Motor Vehicle Dealer,(786)961-8963,MIAMI,FL,1126356-1,State-licensed wholesale dealer - Sep 13 push
ALL ABOUT CARS &amp; TRUCKS LLC,Wholesale Motor Vehicle Dealer,(239)355-3827,NAPLES,FL,1151301-1,State-licensed wholesale dealer - Sep 13 push
"ALL-MOTIVE TRANSMISSION &amp; REPAIR, INC",Wholesale Motor Vehicle Dealer,(941)629-2000,PORT CHARLOTTE,FL,1152964-1,State-licensed wholesale dealer - Sep 13 push
ALLSER LLC,Wholesale Motor Vehicle Dealer,,PALM HARBOR,FL,1153499-1,State-licensed wholesale dealer - Sep 13 push
AMERAFLEET LLC,Wholesale Motor Vehicle Dealer,(813)949-0862,PORT RICHEY,FL,1080538-1,State-licensed wholesale dealer - Sep 13 push
AMIR CARS LLC,Wholesale Motor Vehicle Dealer,(863)338-5444,LAKELAND,FL,1154384-1,State-licensed wholesale dealer - Sep 13 push
AMSA CAPITAL HOLDINGS LLC,Wholesale Motor Vehicle Dealer,(904)339-3771,JACKSONVILLE,FL,1153870-1,State-licensed wholesale dealer - Sep 13 push
ANTHONY TORTOLANO,Wholesale Motor Vehicle Dealer,(401)487-4677,DAYTONA BEACH,FL,1139797-1,State-licensed wholesale dealer - Sep 13 push
"APARICIO CARGO &amp; TRAVEL SERVICES, INC.",Wholesale Motor Vehicle Dealer,(305)395-7996,DORAL,FL,1152316-1,State-licensed wholesale dealer - Sep 13 push
AUCTION XPRESS LLC,Wholesale Motor Vehicle Dealer,(561)543-6000,ALTAMONTE SPRINGS,FL,1149412-1,State-licensed wholesale dealer - Sep 13 push
AUTO GLOBAL SOLUTIONS INC.,Wholesale Motor Vehicle Dealer,(585)304-2303,DAVIE,FL,1154046-1,State-licensed wholesale dealer - Sep 13 push
AUTO MARKET GLOBAL LLC,Wholesale Motor Vehicle Dealer,(786)608-5666,DORAL,FL,1153784-1,State-licensed wholesale dealer - Sep 13 push
AUTO REMARKETING PARTNERS LLC,Wholesale Motor Vehicle Dealer,(315)726-2868,PLANT CITY,FL,1138171-2,State-licensed wholesale dealer - Sep 13 push
AUTO WHOLESALER LLC,Wholesale Motor Vehicle Dealer,(305)842-4647,MIAMI,FL,1150236-1,State-licensed wholesale dealer - Sep 13 push
AUTODOM IMPORT LLC,Wholesale Motor Vehicle Dealer,(561)475-6934,LAKE WORTH,FL,1154345-1,State-licensed wholesale dealer - Sep 13 push
AUTODRIVE WHOLESALE INC,Wholesale Motor Vehicle Dealer,(917)515-2122,TAMPA,FL,1138170-1,State-licensed wholesale dealer - Sep 13 push
"AUTOLINK HUB, LLC",Wholesale Motor Vehicle Dealer,(786)266-4512,HIALEAH,FL,1153273-1,State-licensed wholesale dealer - Sep 13 push
AUTOMOTIVE RESOURCES WHOLESALE LLC,Wholesale Motor Vehicle Dealer,(410)218-3456,CLERMONT,FL,1144934-1,State-licensed wholesale dealer - Sep 13 push
AUTOPAQ LLC,Wholesale Motor Vehicle Dealer,(305)488-0608,DORAL,FL,1147410-1,State-licensed wholesale dealer - Sep 13 push
AUTOSTREETUSA LLC,Wholesale Motor Vehicle Dealer,(561)685-0133,TEQUESTA,FL,1133342-1,State-licensed wholesale dealer - Sep 13 push
AUTOXPRESS 305 LLC,Wholesale Motor Vehicle Dealer,(305)540-0660,DORAL,FL,1152537-1,State-licensed wholesale dealer - Sep 13 push
AVENUES WHOLESALE LLC,Wholesale Motor Vehicle Dealer,(904)258-4243,JACKSONVILLE,FL,1152020-1,State-licensed wholesale dealer - Sep 13 push
"B.H. ABC SALES, INC.",Wholesale Motor Vehicle Dealer,(954)939-8742,DANIA BEACH,FL,1152734-1,State-licensed wholesale dealer - Sep 13 push
BAN GLOBAL LLC,Wholesale Motor Vehicle Dealer,(772)559-4380,ORLANDO,FL,1153865-1,State-licensed wholesale dealer - Sep 13 push
BCC AUTO TRADERS LLC,Wholesale Motor Vehicle Dealer,(863)514-6272,FORT MEADE,FL,1119506-1,State-licensed wholesale dealer - Sep 13 push
BEYOND LIMITS ENTERPRISES LLC,Wholesale Motor Vehicle Dealer,(561)628-1755,FORT PIERCE,FL,1153179-1,State-licensed wholesale dealer - Sep 13 push
BLACK BOX AUTO SALES LLC,Wholesale Motor Vehicle Dealer,(954)558-1918,ORLANDO,FL,1151309-1,State-licensed wholesale dealer - Sep 13 push
BLACK STONE AUTO EXPORT INC,Wholesale Motor Vehicle Dealer,(321)225-1115,ORLANDO,FL,1108582-1,State-licensed wholesale dealer - Sep 13 push
BR AUTO SALES &amp; RENTAL LLC,Wholesale Motor Vehicle Dealer,(347)567-1056,ALTAMONTE SPRINGS,FL,1145266-1,State-licensed wholesale dealer - Sep 13 push
"BRICO, LLC",Wholesale Motor Vehicle Dealer,(561)797-2400,MARGATE,FL,1086521-1,State-licensed wholesale dealer - Sep 13 push
"BRICO, LLC",Wholesale Motor Vehicle Dealer,(561)797-2400,CUTLER BAY,FL,1147779-1,State-licensed wholesale dealer - Sep 13 push
"BRICO, LLC DBA  AUTOBUY",Wholesale Motor Vehicle Dealer,(561)797-2400,MIAMI GARDENS,FL,1147823-1,State-licensed wholesale dealer - Sep 13 push
BRILIAM LLC,Wholesale Motor Vehicle Dealer,(727)455-1500,NEW PORT RICHEY,FL,1153280-1,State-licensed wholesale dealer - Sep 13 push
BRYAN AUTO 05 DEALER CORP,Wholesale Motor Vehicle Dealer,(746)706-3845,MIAMI,FL,1152264-1,State-licensed wholesale dealer - Sep 13 push
"BSK MOTORS OF JACKSONVILLE, INC",Wholesale Motor Vehicle Dealer,(904)962-0767,JACKSONVILLE,FL,1152372-1,State-licensed wholesale dealer - Sep 13 push
BUCK'S AUTO AND TRUCKS SALES LLC,Wholesale Motor Vehicle Dealer,(407)920-3195,LAKELAND,FL,1154094-1,State-licensed wholesale dealer - Sep 13 push
CARBRIDGE CORPORATION,Wholesale Motor Vehicle Dealer,(305)323-1800,MIAMI,FL,1140488-1,State-licensed wholesale dealer - Sep 13 push
CARGROUP HOLDINGS LLC,Wholesale Motor Vehicle Dealer,(321)361-4727,MELBOURNE,FL,1098717-7,State-licensed wholesale dealer - Sep 13 push
CARGROUP HOLDINGS LLC,Wholesale Motor Vehicle Dealer,(407)502-2333,ORLANDO,FL,1098717-2,State-licensed wholesale dealer - Sep 13 push
CARGROUP HOLDINGS LLC,Wholesale Motor Vehicle Dealer,(407)889-0023,APOPKA,FL,1098717-3,State-licensed wholesale dealer - Sep 13 push
CARGROUP HOLDINGS LLC,Wholesale Motor Vehicle Dealer,(727)232-9898,BAYONET,FL,1098717-6,State-licensed wholesale dealer - Sep 13 push
"CARMAX AUTO SUPERSTORES, INC.",Wholesale Motor Vehicle Dealer,(786)437-3372,MIAMI,FL,1149453-1,State-licensed wholesale dealer - Sep 13 push
CARS USA LOGISTIC LLC,Wholesale Motor Vehicle Dealer,(407)668-3916,WINTER PARK,FL,1152870-1,State-licensed wholesale dealer - Sep 13 push
CAVALLINO ROSSO LLC,Wholesale Motor Vehicle Dealer,(561)696-3582,BOCA RATON,FL,1148289-1,State-licensed wholesale dealer - Sep 13 push
CB AUTOTECH INC,Wholesale Motor Vehicle Dealer,(904)588-6749,JACKSONVILLE,FL,1140907-1,State-licensed wholesale dealer - Sep 13 push
CEIMF LLC,Wholesale Motor Vehicle Dealer,(347)841-2654,MIAMI GARDENS,FL,1149207-1,State-licensed wholesale dealer - Sep 13 push
CENTERONE FINANCIAL SERVICES LLC,Wholesale Motor Vehicle Dealer,(954)420-4604,DEERFIELD BEACH,FL,1003361-1,State-licensed wholesale dealer - Sep 13 push
CNT LOGISTIC LLC,Wholesale Motor Vehicle Dealer,(407)574-1553,ORLANDO,FL,1152420-1,State-licensed wholesale dealer - Sep 13 push
"COLLISION CENTER OF NORTH MIAMI, LLC",Wholesale Motor Vehicle Dealer,(305)990-2610,MIAMI,FL,1141052-1,State-licensed wholesale dealer - Sep 13 push
CONSUMER DIRECT AUTO LLC,Wholesale Motor Vehicle Dealer,(727)423-1913,CLEARWATER,FL,1138303-1,State-licensed wholesale dealer - Sep 13 push
CRAIG BROWN INC,Wholesale Motor Vehicle Dealer,(352)435-7145,LEESBURG,FL,1151119-1,State-licensed wholesale dealer - Sep 13 push
DAVIES AUTOMOTIVE LLC,Wholesale Motor Vehicle Dealer,(989)254-7446,JACKSONVILLE BEACH,FL,1152433-1,State-licensed wholesale dealer - Sep 13 push
"DAY 11, LLC",Wholesale Motor Vehicle Dealer,(850)398-2107,JACKSONVILLE,FL,1151566-1,State-licensed wholesale dealer - Sep 13 push
DC HEAVY EQUIPMENT AND TRUCK PARTS LLC,Wholesale Motor Vehicle Dealer,(727)495-8431,TAMPA,FL,1150599-1,State-licensed wholesale dealer - Sep 13 push
DDB ELECTRONICS LLC,Wholesale Motor Vehicle Dealer,(786)979-4315,HOLLYWOOD,FL,1153473-1,State-licensed wholesale dealer - Sep 13 push
DEALER CLUB REMARKETING LLC,Wholesale Motor Vehicle Dealer,(941)217-6889,SARASOTA,FL,1148905-1,State-licensed wholesale dealer - Sep 13 push
DEALER DIRECT WHOLESALE LLC,Wholesale Motor Vehicle Dealer,(407)257-9037,ORLANDO,FL,1125544-1,State-licensed wholesale dealer - Sep 13 push
DECENT AUTO MOTORS CORP,Wholesale Motor Vehicle Dealer,(407)978-7445,LONGWOOD,FL,1150920-1,State-licensed wholesale dealer - Sep 13 push
"DIGITAL MOTOR GROUP, LLC",Wholesale Motor Vehicle Dealer,(646)893-5200,FORT LAUDERDALE,FL,1151177-1,State-licensed wholesale dealer - Sep 13 push
DMW WHOLESALE LLC,Wholesale Motor Vehicle Dealer,(407)906-6542,ORLANDO,FL,1153975-1,State-licensed wholesale dealer - Sep 13 push
DON MOTOR WHOLESALE LLC,Wholesale Motor Vehicle Dealer,(407)873-3440,OCALA,FL,1152175-1,State-licensed wholesale dealer - Sep 13 push
DREAM AUTOS LLC,Wholesale Motor Vehicle Dealer,(407)719-4611,LONGWOOD,FL,1134456-1,State-licensed wholesale dealer - Sep 13 push
DRIVEX LLC,Wholesale Motor Vehicle Dealer,(646)431-1249,ALTAMONTE SPRINGS,FL,1151777-1,State-licensed wholesale dealer - Sep 13 push
DUANY  TRUCK CORP,Wholesale Motor Vehicle Dealer,(786)409-2736,MIAMI,FL,1154498-1,State-licensed wholesale dealer - Sep 13 push
EAST COAST PB ENTERPRISE LLC,Wholesale Motor Vehicle Dealer,(813)766-8770,TAMPA,FL,1122379-1,State-licensed wholesale dealer - Sep 13 push
ED AUTO GROUP LLC,Wholesale Motor Vehicle Dealer,(518)428-9327,WINTER PARK,FL,1154281-1,State-licensed wholesale dealer - Sep 13 push
"ELITE VEHICLE EXPORTS, INC.",Wholesale Motor Vehicle Dealer,(917)977-0211,MIAMI,FL,1151385-1,State-licensed wholesale dealer - Sep 13 push
EMERALD COAST MOTOR GROUP LLC,Wholesale Motor Vehicle Dealer,(815)861-4561,MARY ESTHER,FL,1145018-1,State-licensed wholesale dealer - Sep 13 push
