Name,Category,Phone,City,State,License Number,Why Kept
A & K AUTO REMARKETING,Wholesale Motor Vehicle Dealer,(405) 359-2211,EDMOND,OK,10666,State-licensed wholesale dealer - Sep 13 push
A & M AUTO SALES,Wholesale Motor Vehicle Dealer,(405) 863-4820,OKLAHOMA CITY,OK,10583,State-licensed wholesale dealer - Sep 13 push
ACM AUTO,Wholesale Motor Vehicle Dealer,(405) 206-0002,EDMOND,OK,10724,State-licensed wholesale dealer - Sep 13 push
ADVANCE AUTO WORKS,Wholesale Motor Vehicle Dealer,(405) 947-4245,OKLAHOMA CITY,OK,10682,State-licensed wholesale dealer - Sep 13 push
AMANA AUTO SALES,Wholesale Motor Vehicle Dealer,(405) 742-7201,OKLAHOMA CITY,OK,10737,State-licensed wholesale dealer - Sep 13 push
"AMERICAS TRUCKS, LLC",Wholesale Motor Vehicle Dealer,(405) 413-2445,SPENCER,OK,10720,State-licensed wholesale dealer - Sep 13 push
"AMERITRANS EQUIPMENT SOLUTIONS,LLC",Wholesale Motor Vehicle Dealer,(918) 357-2657,BROKEN ARROW,OK,10636,State-licensed wholesale dealer - Sep 13 push
AMI AUTO SALES,Wholesale Motor Vehicle Dealer,(405) 605-2155,OKLAHOMA CITY,OK,10613,State-licensed wholesale dealer - Sep 13 push
AUTO BANK,Wholesale Motor Vehicle Dealer,(918) 272-6552,OWASSO,OK,10577,State-licensed wholesale dealer - Sep 13 push
"AUTO DUDE WHOLESALE, LLC",Wholesale Motor Vehicle Dealer,(405) 799-7778,OKLAHOMA CITY,OK,10565,State-licensed wholesale dealer - Sep 13 push
AUTO PLANET,Wholesale Motor Vehicle Dealer,(918) 852-5436,BROKEN ARROW,OK,10480,State-licensed wholesale dealer - Sep 13 push
"AUTOBUY MOTORS, LLC",Wholesale Motor Vehicle Dealer,(405) 341-2508,EDMOND,OK,10734,State-licensed wholesale dealer - Sep 13 push
"AUTOMAY CAR SALES, INC.",Wholesale Motor Vehicle Dealer,(405) 410-2227,OKLAHOMA CITY,OK,10603,State-licensed wholesale dealer - Sep 13 push
AWESOME AUTO SALES,Wholesale Motor Vehicle Dealer,(918) 851-7050,TULSA,OK,10623,State-licensed wholesale dealer - Sep 13 push
BG MOTORS,Wholesale Motor Vehicle Dealer,(405) 926-2000,PAULS VALLEY,OK,10664,State-licensed wholesale dealer - Sep 13 push
BLACK'S AUTOS,Wholesale Motor Vehicle Dealer,(918) 422-8830,WATTS,OK,10592,State-licensed wholesale dealer - Sep 13 push
BLOSS MOTORSPORTS,Wholesale Motor Vehicle Dealer,(918) 361-7712,TULSA,OK,10708,State-licensed wholesale dealer - Sep 13 push
"BOUCHER AUTO SALES, LLC",Wholesale Motor Vehicle Dealer,(405) 603-4195,WARR ACRES,OK,10669,State-licensed wholesale dealer - Sep 13 push
"BRAXTON MOTORS, INC",Wholesale Motor Vehicle Dealer,(405) 205-9790,OKLAHOMA CITY,OK,10703,State-licensed wholesale dealer - Sep 13 push
BROKEN ROAD WHOLESALE AUTO,Wholesale Motor Vehicle Dealer,(405) 640-5012,CROMWELL,OK,10707,State-licensed wholesale dealer - Sep 13 push
BURKE'S BUGGYS,Wholesale Motor Vehicle Dealer,(405) 417-0175,AFTON,OK,10249,State-licensed wholesale dealer - Sep 13 push
"CAR MASTERS, LLC",Wholesale Motor Vehicle Dealer,(918) 712-9571,TULSA,OK,10722,State-licensed wholesale dealer - Sep 13 push
"CAR SOURCE, INC",Wholesale Motor Vehicle Dealer,(405) 642-6420,OKLAHOMA CITY,OK,10373,State-licensed wholesale dealer - Sep 13 push
CAR USA REMARKETING,Wholesale Motor Vehicle Dealer,(405)348-5880,EDMOND,OK,10155,State-licensed wholesale dealer - Sep 13 push
CHAVEZ CHASSIS,Wholesale Motor Vehicle Dealer,(405) 241-9693,CHOCTAW,OK,10520,State-licensed wholesale dealer - Sep 13 push
COURTNEY LIMITED AUTO SALES,Wholesale Motor Vehicle Dealer,(405)324-2215,YUKON,OK,10154,State-licensed wholesale dealer - Sep 13 push
CRAWFORD'S AUTO SALES,Wholesale Motor Vehicle Dealer,(918) 227-9952,SAPULPA,OK,10686,State-licensed wholesale dealer - Sep 13 push
"D & S PERFORMANCE AUTOS, INC",Wholesale Motor Vehicle Dealer,(918) 294-1818,BROKEN ARROW,OK,10736,State-licensed wholesale dealer - Sep 13 push
"DEALERTRACK TRADE OPERATIONS, LLC",Wholesale Motor Vehicle Dealer,(405) 285-6924,EDMOND,OK,10714,State-licensed wholesale dealer - Sep 13 push
"DOUG'S AUTO DEALS, LLC",Wholesale Motor Vehicle Dealer,(918) 787-6850,GROVE,OK,10452,State-licensed wholesale dealer - Sep 13 push
"EAGLE INTERNATIONAL AUTOS, INC",Wholesale Motor Vehicle Dealer,(405) 216-8585,EDMOND,OK,10646,State-licensed wholesale dealer - Sep 13 push
EAST TULSA WHOLESALE FLEET CO.,Wholesale Motor Vehicle Dealer,(918) 269-1995,BROKEN ARROW,OK,10300,State-licensed wholesale dealer - Sep 13 push
F & M AUTO WHOLESALE,Wholesale Motor Vehicle Dealer,(918) 493-7242,TULSA,OK,10511,State-licensed wholesale dealer - Sep 13 push
