Name,Category,Phone,City,State,License Number,Why Kept
1st Stop Auto Sales,Motor Vehicle Dealer (general),,Providence,RI,26,State-licensed dealer - Sep 13 push
24/7 Auto Sales & Collision,Motor Vehicle Dealer (general),,Pawtucket,RI,428,State-licensed dealer - Sep 13 push
"44 Auto Mall Sales, Inc.",Motor Vehicle Dealer (general),,Smithfield,RI,356,State-licensed dealer - Sep 13 push
"582 Auto Sales, LLC",Motor Vehicle Dealer (general),,Johnston,RI,582,State-licensed dealer - Sep 13 push
"A & D Auto Sales & Service Center, Inc.",Motor Vehicle Dealer (general),,Smithfield,RI,521,State-licensed dealer - Sep 13 push
"A&G Auto Sales & Recon., Inc.",Motor Vehicle Dealer (general),,North Providence,RI,666,State-licensed dealer - Sep 13 push
"A&R Auto Sales, Inc.",Motor Vehicle Dealer (general),,Warwick,RI,589,State-licensed dealer - Sep 13 push
"A&T Auto Sales, LLC",Motor Vehicle Dealer (general),,West Warwick,RI,112,State-licensed dealer - Sep 13 push
AAA Car Buying Service,Motor Vehicle Dealer (general),,Providence,RI,734,State-licensed dealer - Sep 13 push
"ABC Auto Sales, LLC",Motor Vehicle Dealer (general),,Chepachet,RI,460,State-licensed dealer - Sep 13 push
"Academy Cars, LLC",Motor Vehicle Dealer (general),,Providence,RI,75,State-licensed dealer - Sep 13 push
"Advanced Auto Sales, Inc.",Motor Vehicle Dealer (general),,Peacedale,RI,302,State-licensed dealer - Sep 13 push
Accurate Automotive Sales and Service,Motor Vehicle Dealer (general),,Pawtucket,RI,598,State-licensed dealer - Sep 13 push
Adrenaline Rush motorsports,Motor Vehicle Dealer (general),,West Warwick,RI,95,State-licensed dealer - Sep 13 push
"Advanced Remarketing Services, Inc.",Motor Vehicle Dealer (general),,Middletown,RI,152,State-licensed dealer - Sep 13 push
"Affordable Auto Sales, Inc.",Motor Vehicle Dealer (general),,Warwick,RI,275,State-licensed dealer - Sep 13 push
Agility Auto Sales,Motor Vehicle Dealer (general),,Warwick,RI,482,State-licensed dealer - Sep 13 push
"Al Montecalvo’s Auto Clinic, Inc. 650 Hartford Pike",Motor Vehicle Dealer (general),,North Scituate,RI,367,State-licensed dealer - Sep 13 push
Alpine Auto Sales,Motor Vehicle Dealer (general),,Providence,RI,179,State-licensed dealer - Sep 13 push
"American Auto Sales & Auto Body, Inc.",Motor Vehicle Dealer (general),,Cranston,RI,43,State-licensed dealer - Sep 13 push
"American Performance Auto Sales, Inc.",Motor Vehicle Dealer (general),,Cranston,RI,569,State-licensed dealer - Sep 13 push
American Dreamn Autoi Sales,Motor Vehicle Dealer (general),,Warwick,RI,406,State-licensed dealer - Sep 13 push
Anchor Nissan,Motor Vehicle Dealer (general),,North Smithfield,RI,200,State-licensed dealer - Sep 13 push
"Anchor Subaru, LLC",Motor Vehicle Dealer (general),,North Smithfield,RI,45,State-licensed dealer - Sep 13 push
Angelo Padula & Son Auto Sales & Used Auto Parts,Motor Vehicle Dealer (general),,West Warwick,RI,352,State-licensed dealer - Sep 13 push
ANTUNES AUTO SALES,Motor Vehicle Dealer (general),,West Warwick,RI,498,State-licensed dealer - Sep 13 push
"Apollo Auto Sales, Inc.",Motor Vehicle Dealer (general),,Cumberland,RI,530,State-licensed dealer - Sep 13 push
"Aquidneck Motors, Inc.",Motor Vehicle Dealer (general),,Middletown,RI,363,State-licensed dealer - Sep 13 push
"Arlington RV Supercenter, Inc.",Motor Vehicle Dealer (general),,East Greenwich,RI,584,State-licensed dealer - Sep 13 push
"Atlantic Autocenter, LLC",Motor Vehicle Dealer (general),,Cranston,RI,426,State-licensed dealer - Sep 13 push
Atlantic Bays Auto Sales and Service,Motor Vehicle Dealer (general),,Providence,RI,252,State-licensed dealer - Sep 13 push
Atlas Auto Sales,Motor Vehicle Dealer (general),,West Warwick,RI,567,State-licensed dealer - Sep 13 push
Audi Warwick,Motor Vehicle Dealer (general),,Warwick,RI,278,State-licensed dealer - Sep 13 push
Audrian Automobile Museum,Motor Vehicle Dealer (general),,Newport,RI,579,State-licensed dealer - Sep 13 push
"Auto City, Inc.",Motor Vehicle Dealer (general),,Providence,RI,542,State-licensed dealer - Sep 13 push
"Auto Factory, Inc.",Motor Vehicle Dealer (general),,East Providence,RI,207,State-licensed dealer - Sep 13 push
"Auto Gallery, Inc.",Motor Vehicle Dealer (general),,Tiverton,RI,731,State-licensed dealer - Sep 13 push
"Auto Haven, Inc.",Motor Vehicle Dealer (general),,Pawtucket,RI,667,State-licensed dealer - Sep 13 push
Autoline Auto Sales LLC,Motor Vehicle Dealer (general),,Pawtucket,RI,724,State-licensed dealer - Sep 13 push
"Auto Mart, Inc.",Motor Vehicle Dealer (general),,Cranston,RI,487,State-licensed dealer - Sep 13 push
Automotive Collection Sales and Management LLC,Motor Vehicle Dealer (general),,Oakland,RI,743,State-licensed dealer - Sep 13 push
Auto Rossa Auto Sales LLC,Motor Vehicle Dealer (general),,Warren,RI,590,State-licensed dealer - Sep 13 push
Auto Service Center And Sales,Motor Vehicle Dealer (general),,North Kingstown,RI,772,State-licensed dealer - Sep 13 push
Auto Village Sales & Service,Motor Vehicle Dealer (general),,Coventry,RI,444,State-licensed dealer - Sep 13 push
"Autoland, Inc.",Motor Vehicle Dealer (general),,Coventry,RI,800,State-licensed dealer - Sep 13 push
AutoMatchRI.com Auto Sales,Motor Vehicle Dealer (general),,North Kingstown,RI,456,State-licensed dealer - Sep 13 push
"Automed Auto Sales, Inc.",Motor Vehicle Dealer (general),,West Warwick,RI,623,State-licensed dealer - Sep 13 push
"Autosport Sales & Collision, Inc.",Motor Vehicle Dealer (general),,Cranston,RI,13,State-licensed dealer - Sep 13 push
"Autowizard, Inc.",Motor Vehicle Dealer (general),,Greenville,RI,618,State-licensed dealer - Sep 13 push
B&L Auto Sales,Motor Vehicle Dealer (general),,Central Falls,RI,703,State-licensed dealer - Sep 13 push
Babas Auto Sales and Service,Motor Vehicle Dealer (general),,Providence,RI,693,State-licensed dealer - Sep 13 push
"Bailey's Motor Sales, Inc.",Motor Vehicle Dealer (general),,North Kingstown,RI,182,State-licensed dealer - Sep 13 push
Bald Hill Dodge-Chrysler-Jeep,Motor Vehicle Dealer (general),,Warwick,RI,287,State-licensed dealer - Sep 13 push
Bald Hill Kia,Motor Vehicle Dealer (general),,Warwick,RI,233,State-licensed dealer - Sep 13 push
Balise Volkswagen,Motor Vehicle Dealer (general),,West Warwick,RI,491,State-licensed dealer - Sep 13 push
Balise Chevrolet of Warwick,Motor Vehicle Dealer (general),,Warwick,RI,146,State-licensed dealer - Sep 13 push
Balise Honda of West Warwick,Motor Vehicle Dealer (general),,West Warwick,RI,307,State-licensed dealer - Sep 13 push
