Name,Category,Phone,City,State,License Number,Why Kept
Robert Beamon,Wholesale Dealer License,(979) 571-8715,PALESTINE,TX,P168012W,State-licensed wholesale dealer - Sep 13 push
Copart,Wholesale Motor Vehicle Auction License,(432) 524-6353,ANDREWS,TX,P141247A,State-licensed wholesale dealer - Sep 13 push
Wholesale Auto,Wholesale Dealer License,(936) 225-4575,LUFKIN,TX,P165041W,State-licensed wholesale dealer - Sep 13 push
Greater Lufkin Auto Auction LLC,Wholesale Motor Vehicle Auction License,(936) 632-4290,Lufkin,TX,P171734A,State-licensed wholesale dealer - Sep 13 push
Copart,Wholesale Motor Vehicle Auction License,(737) 201-0441,LUFKIN,TX,P107A,State-licensed wholesale dealer - Sep 13 push
Staveley Acres,Wholesale Dealer License,(210) 209-9139,Von Ormy,TX,P159999W,State-licensed wholesale dealer - Sep 13 push
Brele Investments LLC,Wholesale Dealer License,(210) 771-8807,Pipe Creek,TX,P172068W,State-licensed wholesale dealer - Sep 13 push
INSURANCE AUTO AUCTIONS CORP.,Wholesale Motor Vehicle Auction License,(281) 369-0094,Dale,TX,P127413A,State-licensed wholesale dealer - Sep 13 push
AUTO SOURCE,Wholesale Dealer License,(254) 913-0303,Belton,TX,P123497W,State-licensed wholesale dealer - Sep 13 push
Legacy Auto Auctions,Wholesale Motor Vehicle Auction License,(254) 613-4875,Belton,TX,P167300A,State-licensed wholesale dealer - Sep 13 push
"Insurance Auto Auctions, IAA",Wholesale Motor Vehicle Auction License,(254) 970-0575,FLORENCE,TX,P169063A,State-licensed wholesale dealer - Sep 13 push
3 Points Wholesale LLC,Wholesale Dealer License,(512) 663-1842,TEMPLE,TX,P169479W,State-licensed wholesale dealer - Sep 13 push
WLA Motors LLC,Wholesale Dealer License,(877) 728-5893,KILLEEN,TX,P170547W,State-licensed wholesale dealer - Sep 13 push
Kylcar Construction LLC,Wholesale Dealer License,(903) 276-8767,SIMMS,TX,P165577W,State-licensed wholesale dealer - Sep 13 push
Texarkana Auto Auction LLC,Wholesale Motor Vehicle Auction License,(903) 794-6925,TEXARKANA,TX,P149725A,State-licensed wholesale dealer - Sep 13 push
Collision Redemption LLC,Wholesale Dealer License,(281) 824-4568,ALVIN,TX,P169005W,State-licensed wholesale dealer - Sep 13 push
AB-TEK LLC,Wholesale Dealer License,(281) 723-9569,PEARLAND,TX,P171959W,State-licensed wholesale dealer - Sep 13 push
"SPORT & CLASSIC MOTORCARS, INC.",Wholesale Dealer License,(979) 690-5300,College Station,TX,P15200W,State-licensed wholesale dealer - Sep 13 push
Wing Auto LLC,Wholesale Dealer License,(361) 474-3222,FALFURRIAS,TX,P156214W,State-licensed wholesale dealer - Sep 13 push
JM AUTO SALES,Wholesale Dealer License,(512) 569-3317,Bertram,TX,P134145W,State-licensed wholesale dealer - Sep 13 push
Glosserman Automotive,Wholesale Dealer License,(512) 376-2314,LOCKHART,TX,P130319W,State-licensed wholesale dealer - Sep 13 push
P Motors,Wholesale Dealer License,(713) 679-0340,Harlingen,TX,P165766W,State-licensed wholesale dealer - Sep 13 push
JZ Auto Wholesale LLC,Wholesale Dealer License,(956) 505-1017,BROWNSVILLE,TX,P169452W,State-licensed wholesale dealer - Sep 13 push
Deep Ellum Financial Group LLC,Wholesale Dealer License,(956) 372-8669,BROWNSVILLE,TX,P170021W,State-licensed wholesale dealer - Sep 13 push
"Walker Motor Company, LLC",Wholesale Dealer License,(903) 312-4507,BULLARD,TX,P159944W,State-licensed wholesale dealer - Sep 13 push
Ignite Consults LLC,Wholesale Dealer License,(404) 542-6086,MCKINNEY,TX,P164590W,State-licensed wholesale dealer - Sep 13 push
TKI Equip,Wholesale Dealer License,(469) 801-8300,PLANO,TX,P165886W,State-licensed wholesale dealer - Sep 13 push
TX MOTOPLEX,Wholesale Dealer License,(214) 200-6651,DALLAS,TX,P163249W,State-licensed wholesale dealer - Sep 13 push
DM Motors,Wholesale Dealer License,(210) 326-5545,BULVERDE,TX,P158678W,State-licensed wholesale dealer - Sep 13 push
Copart,Wholesale Motor Vehicle Auction License,(737) 201-0441,NEW BRAUNFELS,TX,P148A,State-licensed wholesale dealer - Sep 13 push
CHABOT INDUSTRIES LLC,Wholesale Dealer License,(361) 443-0570,NEW BRAUNFELS,TX,P161031W,State-licensed wholesale dealer - Sep 13 push
"North County Auto Brokers, LLC",Wholesale Dealer License,(714) 931-1082,Roanoke,TX,P165634W,State-licensed wholesale dealer - Sep 13 push
K&A Automotive LLC,Wholesale Dealer License,(940) 735-8043,Denton,TX,P167933W,State-licensed wholesale dealer - Sep 13 push
"Apex Motors, LLC",Wholesale Dealer License,(817) 233-3590,LEWISVILLE,TX,P168016W,State-licensed wholesale dealer - Sep 13 push
