"Name","Category","Phone","City","State","License Number","Why Kept"
"#2 Hauling Truck Sales & Service","Motor Vehicle Dealer (general)","(308) 338-9097","Kearney","NE","DL06965","State-licensed dealer - Sep 13 push"
"1049 Diesel Truck Sales, LLC","Motor Vehicle Dealer (general)","(270) 487-7974","Tompkinsville","KY","336926086","State-licensed dealer - Sep 13 push"
"1081 Auto Mart LLC","Motor Vehicle Dealer (general)","(606) 349-4286","Salyersville","KY","222826077","State-licensed dealer - Sep 13 push"
"10X AUTO","Wholesale Motor Vehicle Dealer","480-886-4059","GLENDALE","AZ","L10001357","State-licensed wholesale dealer - Sep 13 push"
"1231 GROUP LLC","Wholesale Motor Vehicle Dealer","(727)953-2475","LARGO","FL","1150407-1","State-licensed wholesale dealer - Sep 13 push"
"1366 Auto Sales LLC","Motor Vehicle Dealer (general)","(270) 457-3829","Tompkinsville","KY","590326086","State-licensed dealer - Sep 13 push"
"14 M Auto Sales","Motor Vehicle Dealer (general)","(402) 325-8450","Lincoln","NE","DL06996","State-licensed dealer - Sep 13 push"
"150 Auto Sales","Motor Vehicle Dealer (general)","(606) 365-1384","Stanford","KY","37326069","State-licensed dealer - Sep 13 push"
"1590 Auto Sales, LLC","Motor Vehicle Dealer (general)","(606) 387-4210","Albany","KY","60626027","State-licensed dealer - Sep 13 push"
"1st Choice Auto Sales LLC","Motor Vehicle Dealer (general)","(270) 790-2500","Bowling Green","KY","583726114","State-licensed dealer - Sep 13 push"
"1ST CHOICE WHOLESALE AUTO LLC","Wholesale Motor Vehicle Dealer","5207297877","TUCSON","AZ","L10001706","State-licensed wholesale dealer - Sep 13 push"
"1st Class Auto","Motor Vehicle Dealer (general)","(402) 387-2420","Ainsworth","NE","DL06388","State-licensed dealer - Sep 13 push"
"1st Drive","Wholesale Dealer License","(432) 923-9661","Midland","TX","P133347W","State-licensed wholesale dealer - Sep 13 push"
"1st GEAR AUTO SALES LLC","Wholesale Dealer License","(346) 399-2202","SUGAR LAND","TX","P165339W","State-licensed wholesale dealer - Sep 13 push"
"1st Stop Auto Sales","Motor Vehicle Dealer (general)","","Providence","RI","26","State-licensed dealer - Sep 13 push"
"2 Men Auto Sales","Motor Vehicle Dealer (general)","(402) 238-3330","Bennington","NE","DL05291","State-licensed dealer - Sep 13 push"
"22 Automotive","Motor Vehicle Dealer (general)","(402) 314-3094","Milford","NE","DL07224","State-licensed dealer - Sep 13 push"
"23 Camper Sales LLC","Motor Vehicle Dealer (general)","(606) 673-4717","Ulysses","KY","526426064","State-licensed dealer - Sep 13 push"
"231 Auto Mart LLC","Motor Vehicle Dealer (general)","(270) 298-9573","Hartford","KY","28426092","State-licensed dealer - Sep 13 push"
"24 Auto Sales Inc","Motor Vehicle Dealer (general)","(402) 763-1676","Omaha","NE","DL06268","State-licensed dealer - Sep 13 push"
"24/7 Auto Sales & Collision","Motor Vehicle Dealer (general)","","Pawtucket","RI","428","State-licensed dealer - Sep 13 push"
"245 Auto LLC","Motor Vehicle Dealer (general)","(502) 353-1086","Lebanon","KY","522726078","State-licensed dealer - Sep 13 push"
"249 Auto, LLC","Wholesale Motor Vehicle Dealer","7207178942","Chandler","AZ","L10003556","State-licensed wholesale dealer - Sep 13 push"
"28 Automotive LLC","Wholesale Motor Vehicle Dealer","4802040706","Surprise","AZ","L10001859","State-licensed wholesale dealer - Sep 13 push"
"2B Logistics LLC","Wholesale Motor Vehicle Dealer","4807374155","Tonopah","AZ","L10003318","State-licensed wholesale dealer - Sep 13 push"
"3 Brothers Auto Sale","Motor Vehicle Dealer (general)","(502) 749-9070","Louisville","KY","32426056","State-licensed dealer - Sep 13 push"
"3 Dynamics Auto Sales Inc","Motor Vehicle Dealer (general)","(402) 612-1640","Omaha","NE","DL07210","State-licensed dealer - Sep 13 push"
