Name,Category,Phone,City,State,License Number,Why Kept
"Topline AutoMotors LLC","Wholesale Motor Vehicle Dealer","480-213-0444","Glendale","AZ","L10000397","State-licensed wholesale dealer - Sep 13 push"
"BIA Motors","Wholesale Motor Vehicle Dealer","(602) 710-3426","Phoenix","AZ","L10000665","State-licensed wholesale dealer - Sep 13 push"
"JPW CARS LLC","Wholesale Motor Vehicle Dealer","602-391-3256","El Mirage","AZ","L10000367","State-licensed wholesale dealer - Sep 13 push"
"Southern Funding LLC","Wholesale Motor Vehicle Dealer","520-704-3109","Tucson","AZ","L10000381","State-licensed wholesale dealer - Sep 13 push"
"K&U Automotive LLC","Wholesale Motor Vehicle Dealer","602-737-8704","Phoenix","AZ","L10000456","State-licensed wholesale dealer - Sep 13 push"
"PCM Services, Inc","Wholesale Motor Vehicle Dealer","714-743-7000","Quartzsite","AZ","L10000455","State-licensed wholesale dealer - Sep 13 push"
"Desert Valley Auto Wholesale LLC","Wholesale Motor Vehicle Dealer","480-955-4667","Peoria","AZ","L10000376","State-licensed wholesale dealer - Sep 13 push"
"Barabe Motor Company, LLC","Wholesale Motor Vehicle Dealer","505-463-6844","Tempe","AZ","L10000377","State-licensed wholesale dealer - Sep 13 push"
"Aldrispe LLC","Wholesale Motor Vehicle Dealer","623-225-3735","Phoenix","AZ","L10000401","State-licensed wholesale dealer - Sep 13 push"
"Pacific Funding Wholesale Auto Sale LLC","Wholesale Motor Vehicle Dealer","602-481-7848","Tolleson","AZ","L10000438","State-licensed wholesale dealer - Sep 13 push"
"Arra Motor Club LLC","Wholesale Motor Vehicle Dealer","(718)810-5569","Glendale","AZ","L10000545","State-licensed wholesale dealer - Sep 13 push"
"Nyemke Enterprise LLC","Wholesale Motor Vehicle Dealer","614-446-3074","Queen Creek","AZ","L10001387","State-licensed wholesale dealer - Sep 13 push"
"302 Autos, LLC.","Wholesale Motor Vehicle Dealer","","Durango","CO","47265","State-licensed wholesale dealer - Sep 13 push"
"303 Motors LLC","Wholesale Motor Vehicle Dealer","","Denver","CO","46770","State-licensed wholesale dealer - Sep 13 push"
"5 Rivers Inventory Solutions Inc","Wholesale Motor Vehicle Dealer","","Fort Collins","CO","46629","State-licensed wholesale dealer - Sep 13 push"
"565-Auto","Wholesale Motor Vehicle Dealer","","Beulah","CO","37122","State-licensed wholesale dealer - Sep 13 push"
"ABC Wholesale","Wholesale Motor Vehicle Dealer","","Cortez","CO","37808","State-licensed wholesale dealer - Sep 13 push"
"Absolute Auto Sales, LLC","Wholesale Motor Vehicle Dealer","","Windsor","CO","46972","State-licensed wholesale dealer - Sep 13 push"
"ACE AUTO LLC","Wholesale Motor Vehicle Dealer","","Colorado Springs","CO","44534","State-licensed wholesale dealer - Sep 13 push"
"Acme Super Pawn LLC","Wholesale Motor Vehicle Dealer","","Colorado Springs","CO","39805","State-licensed wholesale dealer - Sep 13 push"
"ACTIVE AUTO","Wholesale Motor Vehicle Dealer","","Colorado Springs","CO","38130","State-licensed wholesale dealer - Sep 13 push"
"ADESA COLORADO SPRINGS","Wholesale Motor Vehicle Dealer","","Fountain","CO","40822","State-licensed wholesale dealer - Sep 13 push"
"ADR MOTORS","Wholesale Motor Vehicle Dealer","","Colorado Springs","CO","4282","State-licensed wholesale dealer - Sep 13 push"
"Affordable Autos LLC","Wholesale Motor Vehicle Dealer","","Aurora","CO","47307","State-licensed wholesale dealer - Sep 13 push"
"1231 GROUP LLC","Wholesale Motor Vehicle Dealer","(727)953-2475","Largo","FL","1150407-1","State-licensed wholesale dealer - Sep 13 push"
"310 MOTOR GROUP LLC","Wholesale Motor Vehicle Dealer","(786)292-2328","Sunny Isles Beach","FL","1141669-1","State-licensed wholesale dealer - Sep 13 push"
"365 AUTO EXPRESS LLC","Wholesale Motor Vehicle Dealer","(407)587-6856","Orlando","FL","1147206-1","State-licensed wholesale dealer - Sep 13 push"
"500 LLC","Wholesale Motor Vehicle Dealer","(305)305-3518","Miramar","FL","1149378-1","State-licensed wholesale dealer - Sep 13 push"
"A AUTO KARS INC","Wholesale Motor Vehicle Dealer","(786)586-6295","Tamarac","FL","1152742-1","State-licensed wholesale dealer - Sep 13 push"
"A WHOLESALER LLC","Wholesale Motor Vehicle Dealer","(863)448-5040","Bartow","FL","1146267-1","State-licensed wholesale dealer - Sep 13 push"
"ABEWORKS AUTOS LLC","Wholesale Motor Vehicle Dealer","(954)372-6470","Miami","FL","1153993-1","State-licensed wholesale dealer - Sep 13 push"
"ABRAM GROUP INC","Wholesale Motor Vehicle Dealer","(754)465-1557","Palm City","FL","1153492-1","State-licensed wholesale dealer - Sep 13 push"
"ADAMS AUTO EXCHANGE LLC","Wholesale Motor Vehicle Dealer","(813)482-2991","New Port Richey","FL","1153514-1","State-licensed wholesale dealer - Sep 13 push"
"ADCOCK BROTHERS INC","Wholesale Motor Vehicle Dealer","(717)664-3600","Panama City","FL","1105656-1","State-licensed wholesale dealer - Sep 13 push"
"A & K AUTO REMARKETING","Wholesale Motor Vehicle Dealer","(405) 359-2211","Edmond","OK","10666","State-licensed wholesale dealer - Sep 13 push"
"A & M AUTO SALES","Wholesale Motor Vehicle Dealer","(405) 863-4820","Oklahoma City","OK","10583","State-licensed wholesale dealer - Sep 13 push"
"ACM AUTO, LLC","Wholesale Motor Vehicle Dealer","(405) 206-0002","Edmond","OK","10724","State-licensed wholesale dealer - Sep 13 push"
"ADVANCE AUTO WORKS","Wholesale Motor Vehicle Dealer","(405) 947-4245","Oklahoma City","OK","10682","State-licensed wholesale dealer - Sep 13 push"
"AMERICAS TRUCKS, LLC","Wholesale Motor Vehicle Dealer","(405) 413-2445","Spencer","OK","10720","State-licensed wholesale dealer - Sep 13 push"
"AMERITRANS EQUIPMENT SOLUTIONS, LLC","Wholesale Motor Vehicle Dealer","(918) 357-2657","Broken Arrow","OK","10636","State-licensed wholesale dealer - Sep 13 push"
"AMI AUTO SALES","Wholesale Motor Vehicle Dealer","(405) 605-2155","Oklahoma City","OK","10613","State-licensed wholesale dealer - Sep 13 push"
"AUTO BANK","Wholesale Motor Vehicle Dealer","(918) 272-6552","Owasso","OK","10577","State-licensed wholesale dealer - Sep 13 push"
"AUTO DUDE WHOLESALE, LLC","Wholesale Motor Vehicle Dealer","(405) 799-7778","Oklahoma City","OK","10565","State-licensed wholesale dealer - Sep 13 push"
"AUTO PLANET, LLC","Wholesale Motor Vehicle Dealer","(918) 852-5436","Broken Arrow","OK","10480","State-licensed wholesale dealer - Sep 13 push"
"AWESOME AUTO SALES, LLC","Wholesale Motor Vehicle Dealer","(918) 851-7050","Tulsa","OK","10623","State-licensed wholesale dealer - Sep 13 push"
"AUTOMAY CAR SALES, INC.","Wholesale Motor Vehicle Dealer","(405) 410-2227","Oklahoma City","OK","10603","State-licensed wholesale dealer - Sep 13 push"
"BETA AUTOS","Wholesale Motor Vehicle Dealer","(469) 347-1834","Dallas","TX","P164503W","State-licensed wholesale dealer - Sep 13 push"
"ATLANTIS AUTO INC","Wholesale Motor Vehicle Dealer","(817) 890-0000","Dallas","TX","P164508W","State-licensed wholesale dealer - Sep 13 push"
"Ignite Consults LLC","Wholesale Motor Vehicle Dealer","(404) 542-6086","McKinney","TX","P164590W","State-licensed wholesale dealer - Sep 13 push"
"Borderland Trade & Wholesale","Wholesale Motor Vehicle Dealer","(915) 801-5488","El Paso","TX","P164615W","State-licensed wholesale dealer - Sep 13 push"
"AUTO SOURCE","Wholesale Motor Vehicle Dealer","(254) 913-0303","Belton","TX","P123497W","State-licensed wholesale dealer - Sep 13 push"
"ROYAL AUTO GROUP","Wholesale Motor Vehicle Dealer","(281) 213-4900","Houston","TX","P164788W","State-licensed wholesale dealer - Sep 13 push"
"TEXAS BEST DEALS INC","Wholesale Motor Vehicle Dealer","(214) 682-8222","Grand Prairie","TX","P164847W","State-licensed wholesale dealer - Sep 13 push"
"INSPIRE MOTORS","Wholesale Motor Vehicle Dealer","(346) 610-7060","Houston","TX","P164991W","State-licensed wholesale dealer - Sep 13 push"
"J&S Truck Sales","Wholesale Motor Vehicle Dealer","(214) 290-4634","Midland","TX","P165081W","State-licensed wholesale dealer - Sep 13 push"
"BROWN FIG AUTO FINANCE LLC","Wholesale Motor Vehicle Dealer","(469) 766-2674","Dallas","TX","P165082W","State-licensed wholesale dealer - Sep 13 push"
"CARMXS INC","Wholesale Motor Vehicle Dealer","(817) 229-3490","Arlington","TX","P155878W","State-licensed wholesale dealer - Sep 13 push"
"1st GEAR AUTO SALES LLC","Wholesale Motor Vehicle Dealer","(346) 399-2202","Sugar Land","TX","P165339W","State-licensed wholesale dealer - Sep 13 push"
"BB Wholesale Auto LLC","Motor Vehicle Dealer (wholesale name match)","509-899-9120","Nampa","ID","7033-X","State-licensed dealer - Sep 13 push"
"Big Reds Auto Wholesale","Motor Vehicle Dealer (wholesale name match)","208-906-7207","Nampa","ID","4132-0","State-licensed dealer - Sep 13 push"
"Buyers Market and Wholesale Inc","Motor Vehicle Dealer (wholesale name match)","208-529-2277","Idaho Falls","ID","1364-0","State-licensed dealer - Sep 13 push"
